content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado,tokens
Muy más x parte de sta App me olvidé la contraseña y llame a la operadora para poder recuperar mi cuenta xq lo tenia bloqueado y me dijo como acerlo y me dice q no tenia nada de saldo y yo juraba q tenia un buen monto de dinero y ahora no kieren acerse cargo. A ste paso tendré q acer la denuncia a asfi para q tomen cartas en el asunto.,1,0,x parte sta app olvidé contraseña llame operadora poder recuperar cuenta xq tenia bloqueado dijo acerlo dice q tenia saldo juraba q tenia buen monto dinero ahora kieren acerse cargo ste paso q acer denuncia asfi q tomen cartas asunto,x parte sta app olvide contrasena llame operadora poder recuperar cuenta xq tenia bloqueado dijo acerlo dice q tenia saldo juraba q tenia buen monto dinero ahora kieren acerse cargo ste paso q acer denuncia asfi q tomen cartas asunto,parte sta app olvidar contrasena llame operadoro poder recuperar cuenta tenia bloqueado decir acer él decir tenio saldo jurar tenia buen monto dinero ahora kierir acer él cargo stir paso acer denuncia asfi tomar carta asunto,"['parte', 'sta', 'app', 'olvidar', 'contrasena', 'llame', 'operadoro', 'poder', 'recuperar', 'cuenta', 'tenia', 'bloqueado', 'decir', 'acer', 'él', 'decir', 'tenio', 'saldo', 'jurar', 'tenia', 'buen', 'monto', 'dinero', 'ahora', 'kierir', 'acer', 'él', 'cargo', 'stir', 'paso', 'acer', 'denuncia', 'asfi', 'tomar', 'carta', 'asunto']"
Iniciante,4,0,iniciante,iniciante,iniciante,['iniciante']
No puedo registrar un.nuevo número . Ya. Que no recuerdo el número con el que hizo la.prueba .y el de atención al cliente solo me dice q así puede borrar con el número entonces para q me piden todos los datos de mi carnet para comprobar si no pueden hacer nada,1,18,puedo registrar unnuevo número recuerdo número hizo laprueba atención cliente solo dice q así puede borrar número entonces q piden datos carnet comprobar si pueden hacer,puedo registrar unnuevo numero recuerdo numero hizo laprueba atencion cliente solo dice q asi puede borrar numero entonces q piden datos carnet comprobar si pueden hacer,poder registrar unnuevo numero recordar numero hacer laprueba atencion cliente solo decir asi poder borrar numero entonces pedir dato carnet comprobar poder hacer,"['poder', 'registrar', 'unnuevo', 'numero', 'recordar', 'numero', 'hacer', 'laprueba', 'atencion', 'cliente', 'solo', 'decir', 'asi', 'poder', 'borrar', 'numero', 'entonces', 'pedir', 'dato', 'carnet', 'comprobar', 'poder', 'hacer']"
Se demora demasiado para sacar o querer depositar dinero.,1,0,demora demasiado sacar querer depositar dinero,demora demasiado sacar querer depositar dinero,demora demasiado sacar querer depositar dinero,"['demora', 'demasiado', 'sacar', 'querer', 'depositar', 'dinero']"
"Intento crear mi cuenta, y al momento de esperar el código por SMS este nunca llega",1,1,intento crear cuenta momento esperar código sms nunca llega,intento crear cuenta momento esperar codigo sms nunca llega,intento crear cuenta momento esperar codigo sms nunca llegar,"['intento', 'crear', 'cuenta', 'momento', 'esperar', 'codigo', 'sms', 'nunca', 'llegar']"
"Z,",5,0,z,z,,[]
Trabajo en imprenta,4,0,trabajo imprenta,trabajo imprenta,trabajo imprentar,"['trabajo', 'imprentar']"
Un fraude,1,0,fraude,fraude,fraude,['fraude']
Una aplicación muy defectuosa para crearla le puse mi número y nunca me llegó el código para crear la supuesta billetera móvil de yolo estoy 1 mes en espera aparte q el banco ganadero no es como otros banco q tiene la facilidad de sacar tu dinero sin tarjeta con q te llegue un código y sale su plata aquí tenes q descargarte yolo no llega el código,1,3,aplicación defectuosa crearla puse número nunca llegó código crear supuesta billetera móvil yolo mes espera aparte q banco ganadero banco q facilidad sacar dinero tarjeta q llegue código sale plata aquí tenes q descargarte yolo llega código,aplicacion defectuosa crearla puse numero nunca llego codigo crear supuesta billetera movil yolo mes espera aparte q banco ganadero banco q facilidad sacar dinero tarjeta q llegue codigo sale plata aqui tenes q descargarte yolo llega codigo,aplicacion defectuoso crear él puse numero nunca llego codigo crear supuesto billetera movil yolo mes esperar aparte banco ganadero banco facilidad sacar dinero tarjeto llegar codigo salir plata aqui tén descargarte yolo llegar codigo,"['aplicacion', 'defectuoso', 'crear', 'él', 'puse', 'numero', 'nunca', 'llego', 'codigo', 'crear', 'supuesto', 'billetera', 'movil', 'yolo', 'mes', 'esperar', 'aparte', 'banco', 'ganadero', 'banco', 'facilidad', 'sacar', 'dinero', 'tarjeto', 'llegar', 'codigo', 'salir', 'plata', 'aqui', 'tén', 'descargarte', 'yolo', 'llegar', 'codigo']"
Excelente,5,0,excelente,excelente,excelente,['excelente']
Me debitaron un pago de servicio que fue rechazado y el reclamo tardo más de una semana. La adición de pago de servicios hace que el pago se haga con muchos pasos. El ingreso es demasiado lento a veces.,2,12,debitaron pago servicio rechazado reclamo tardo semana adición pago servicios hace pago haga pasos ingreso demasiado lento veces,debitaron pago servicio rechazado reclamo tardo semana adicion pago servicios hace pago haga pasos ingreso demasiado lento veces,debitar pago servicio rechazado reclamo tardo semana adicion pago servicio hacer pago hacer paso ingresar demasiado lento vez,"['debitar', 'pago', 'servicio', 'rechazado', 'reclamo', 'tardo', 'semana', 'adicion', 'pago', 'servicio', 'hacer', 'pago', 'hacer', 'paso', 'ingresar', 'demasiado', 'lento', 'vez']"
Muy bien,5,0,bien,bien,bien,['bien']
"Tarda un montón, por favor realicen bien, de pronto se presenta un garabato y otra vez repite lo",1,0,tarda montón favor realicen bien pronto presenta garabato vez repite,tarda monton favor realicen bien pronto presenta garabato vez repite,tardar monton favor realizar bien pronto presentar garabato vez repetir,"['tardar', 'monton', 'favor', 'realizar', 'bien', 'pronto', 'presentar', 'garabato', 'vez', 'repetir']"
No me sirve no tengo cc en bolivia⁰ soy Español,4,0,sirve cc bolivia⁰ español,sirve cc bolivia⁰ espanol,servir espanol,"['servir', 'espanol']"
"Entre en app . Y me sale que no es compatible con mi dispositivo, que hago con la plata que tengo ahí , si alguien del soporte ve esto ,por favor denme una solución!!!!",1,3,app sale compatible dispositivo hago plata ahí si alguien soporte ve favor denme solución,app sale compatible dispositivo hago plata ahi si alguien soporte ve favor denme solucion,app salir compatible dispositivo hacer plata ahi alguien soporte favor denmir solucion,"['app', 'salir', 'compatible', 'dispositivo', 'hacer', 'plata', 'ahi', 'alguien', 'soporte', 'favor', 'denmir', 'solucion']"
De como se puede saber que realmente pertenece al Banco Ganadero cuál es la garantía tengo esa duda me podría responder,4,0,puede saber realmente pertenece banco ganadero cuál garantía duda podría responder,puede saber realmente pertenece banco ganadero cual garantia duda podria responder,poder saber realmente pertenecer banco ganadero garantia duda podrio responder,"['poder', 'saber', 'realmente', 'pertenecer', 'banco', 'ganadero', 'garantia', 'duda', 'podrio', 'responder']"
"relamente está al pedo la app si tienes la app d tu banco ya no es necesario está app, los pagos lo haces mediante QR de tu banco y otras transacciones.",1,0,relamente pedo app si app d banco necesario app pagos haces mediante qr banco transacciones,relamente pedo app si app d banco necesario app pagos haces mediante qr banco transacciones,relamente pedo app app banco necesario app pago haz mediante banco transacción,"['relamente', 'pedo', 'app', 'app', 'banco', 'necesario', 'app', 'pago', 'haz', 'mediante', 'banco', 'transacción']"
Vamos a ver cómo funciona.....,4,0,vamos ver cómo funciona,vamos ver como funciona,ir ver funcionar,"['ir', 'ver', 'funcionar']"
"Pésima aplicación de billetera, funciona mal, es lenta, se pega, falla mucho,... etc. Es increíble q un mal producto tenga tanta inversión en publicidad",1,22,pésima aplicación billetera funciona mal lenta pega falla etc increíble q mal producto tanta inversión publicidad,pesima aplicacion billetera funciona mal lenta pega falla etc increible q mal producto tanta inversion publicidad,pesimar aplicacion billetera funcionar mal lento pega falla etc increible mal producto tanto inversion publicidad,"['pesimar', 'aplicacion', 'billetera', 'funcionar', 'mal', 'lento', 'pega', 'falla', 'etc', 'increible', 'mal', 'producto', 'tanto', 'inversion', 'publicidad']"
5mimutos me registre y retire dinero fácil y rápido 👍👍,5,0,mimutos registre retire dinero fácil rápido 👍👍,mimutos registre retire dinero facil rapido 👍👍,mimuto registrar retire dinero facil rapido,"['mimuto', 'registrar', 'retire', 'dinero', 'facil', 'rapido']"
No me pude conectar intente muchas veces,1,1,pude conectar intente muchas veces,pude conectar intente muchas veces,poder conectar intente mucho vez,"['poder', 'conectar', 'intente', 'mucho', 'vez']"
QqwSe n bboil los i Ml Mlim,5,1,qqwse n bboil i ml mlim,qqwse n bboil i ml mlim,qqwse bboil mlim,"['qqwse', 'bboil', 'mlim']"
Es práctico pero tuve 3 inconvenientes en el pago de servicios. Ya que me descontaron pero no efectuaron la cancelación del servicio. Hoy mismo ya van como una semana me descontaron por el pago de un servicio pero no se realizo el pago del servicio y no me reintegran el monto del pago realizado,3,18,práctico inconvenientes pago servicios descontaron efectuaron cancelación servicio hoy mismo van semana descontaron pago servicio realizo pago servicio reintegran monto pago realizado,practico inconvenientes pago servicios descontaron efectuaron cancelacion servicio hoy mismo van semana descontaron pago servicio realizo pago servicio reintegran monto pago realizado,practico inconveniente pagar servicio descontar efectuar cancelacion servicio hoy mismo ir semana descontar pago servicio realizo pago servicio reintegrar monto pago realizado,"['practico', 'inconveniente', 'pagar', 'servicio', 'descontar', 'efectuar', 'cancelacion', 'servicio', 'hoy', 'mismo', 'ir', 'semana', 'descontar', 'pago', 'servicio', 'realizo', 'pago', 'servicio', 'reintegrar', 'monto', 'pago', 'realizado']"
"bhimr,mitigado z x eh",3,1,bhimrmitigado z x eh,bhimrmitigado z x eh,bhimrmitigado,['bhimrmitigado']
"Facilisimo , sencillo y divertido",5,1,facilisimo sencillo divertido,facilisimo sencillo divertido,facilisimo sencillo divertido,"['facilisimo', 'sencillo', 'divertido']"
Los amo,1,1,amo,amo,amar,['amar']
Bueno tengo conocimiento y tengo bastante edax bueno que más queda dar cracias los señores del préstamo son muy conprencible y les doy las cracias A todos los del Banco,3,1,bueno conocimiento bastante edax bueno queda dar cracias señores préstamo conprencible doy cracias banco,bueno conocimiento bastante edax bueno queda dar cracias senores prestamo conprencible doy cracias banco,bueno conocimiento bastante edax bueno quedar dar cracia senor prestamir conprencible doy cracia banco,"['bueno', 'conocimiento', 'bastante', 'edax', 'bueno', 'quedar', 'dar', 'cracia', 'senor', 'prestamir', 'conprencible', 'doy', 'cracia', 'banco']"
"No acepta número de cuenta, como debe ser?",5,1,acepta número cuenta debe ser,acepta numero cuenta debe ser,aceptar numero contar deber ser,"['aceptar', 'numero', 'contar', 'deber', 'ser']"
Exelente,5,1,exelente,excelente,excelente,['excelente']
"Buena aplicación , atención al cliente rápida y te arreglan cualquier problema , le faltaría lo de la huella digital",5,11,buena aplicación atención cliente rápida arreglan cualquier problema faltaría huella digital,buena aplicacion atencion cliente rapida arreglan cualquier problema faltaria huella digital,buen aplicacion atencion cliente rapido arreglar cualquiera problema faltario huella digital,"['buen', 'aplicacion', 'atencion', 'cliente', 'rapido', 'arreglar', 'cualquiera', 'problema', 'faltario', 'huella', 'digital']"
Súper bueno.,5,1,súper bueno,super bueno,super bueno,"['super', 'bueno']"
App basura me hace pasar inconvenientes dónde uso y uno llama a call Center y de dicen que la respuesta es en 5 días,1,1,app basura hace pasar inconvenientes dónde uso llama call center dicen respuesta días,app basura hace pasar inconvenientes donde uso llama call center dicen respuesta dias,app basura hacer pasar inconveniente uso llamar call center decir respuesta dia,"['app', 'basura', 'hacer', 'pasar', 'inconveniente', 'uso', 'llamar', 'call', 'center', 'decir', 'respuesta', 'dia']"
No puedo crear mi cuenta,1,1,puedo crear cuenta,puedo crear cuenta,poder crear cuenta,"['poder', 'crear', 'cuenta']"
Bien,5,1,bien,bien,bien,['bien']
fácil de usar y de pagar servicios básicos rápidamente,5,6,fácil usar pagar servicios básicos rápidamente,facil usar pagar servicios basicos rapidamente,facil usar pagar servicio basico rapidamente,"['facil', 'usar', 'pagar', 'servicio', 'basico', 'rapidamente']"
Que pesimo servicio qué brindan la verdad el año pasado en agosto quise cambiar el numero de cel me dijeron 5 días hábiles llevo más de 1año sin solución ahora quiero crear otra cuenta y tampoco me permite La quiero eliminar y me dicen lo mismo 5 días hábiles tengo que esperar 1año más para borrar mi cuenta de su pecimo servicio me gustaría que me den solucion ya 9702406 hay les dejo mi carnet para que verifiquen lo dicho yo hablo con fundamentos,1,2,pesimo servicio brindan verdad año pasado agosto quise cambiar numero cel dijeron días hábiles llevo año solución ahora quiero crear cuenta tampoco permite quiero eliminar dicen mismo días hábiles esperar año borrar cuenta pecimo servicio gustaría den solucion dejo carnet verifiquen dicho hablo fundamentos,pesimo servicio brindan verdad ano pasado agosto quise cambiar numero cel dijeron dias habiles llevo ano solucion ahora quiero crear cuenta tampoco permite quiero eliminar dicen mismo dias habiles esperar ano borrar cuenta pecimo servicio gustaria den solucion dejo carnet verifiquen dicho hablo fundamentos,pesimo servicio brindar verdad ano pasado agosto querer cambiar numero cel decir dia habil llevar ano solucion ahora querer crear cuenta tampoco permitir querer eliminar decir mismo dia habil esperar ano borrar contar pecimo servicio gustario dar solucion dejar carnet verificar dicho hablo fundamento,"['pesimo', 'servicio', 'brindar', 'verdad', 'ano', 'pasado', 'agosto', 'querer', 'cambiar', 'numero', 'cel', 'decir', 'dia', 'habil', 'llevar', 'ano', 'solucion', 'ahora', 'querer', 'crear', 'cuenta', 'tampoco', 'permitir', 'querer', 'eliminar', 'decir', 'mismo', 'dia', 'habil', 'esperar', 'ano', 'borrar', 'contar', 'pecimo', 'servicio', 'gustario', 'dar', 'solucion', 'dejar', 'carnet', 'verificar', 'dicho', 'hablo', 'fundamento']"
Muy buena,5,2,buena,buena,buen,['buen']
