content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado
No responde el botón compartir comprobante en xiaomi redmi 11,5,1,responde botón compartir comprobante xiaomi redmi,responde boton compartir comprobante xiaomi redmi,responder boton compartir comprobante xiaomi redmi
K j nme n.,2,1,k j nme n,k j nme n,k j nme n
La verdad no entiendo quiero verifica en en mi cel mi cuenta no me manda el código una lastima esta año que pasas y en mi cuenta tenia saldo a hora quiero entrar me dice verifique el dispositivo y no me mandan el código la verificar pura mrd quiero mi dinero q tenia en mi cuenta mrd,1,1,verdad entiendo quiero verifica cel cuenta manda código lastima año pasas cuenta tenia saldo hora quiero entrar dice verifique dispositivo mandan código verificar pura mrd quiero dinero q tenia cuenta mrd,verdad entiendo quiero verifica cel cuenta manda codigo lastima ano pasas cuenta tenia saldo hora quiero entrar dice verifique dispositivo mandan codigo verificar pura mrd quiero dinero q tenia cuenta mrd,verdad entender quiero verifico cel contar manda codigo lastimo ano pasas contar tenia saldo hora querer entrar decir verifique dispositivo mandar codigo verificar pura mrd quiero dinero q tenia contar mrd
La verdad no me funciona bien tiene falla l app,4,1,verdad funciona bien falla l app,verdad funciona bien falla l app,verdad funcionar bien falla l app
"Descargenla Buena app. Funciona vien felicidades a los creadores por pensar en nuestra comodidad, Facilita mucho y así evitamos las largas colas... -Porfavor a los creadores no nos decepcionen sigan así para adelante mejorando .. no empeorando gracias🙂...",5,8,descargenla buena app funciona vien felicidades creadores pensar comodidad facilita así evitamos largas colas porfavor creadores decepcionen sigan así adelante mejorando empeorando gracias🙂,descargenla buena app funciona vien felicidades creadores pensar comodidad facilita asi evitamos largas colas porfavor creadores decepcionen sigan asi adelante mejorando empeorando gracias🙂,descargenla buen app funcionar vien felicidad creador pensar comodidad facilitar asi evitar larga cola porfavor creador decepcionir seguir asi adelante mejorar empeorar gracias 🙂
No lo paga,1,1,paga,paga,pagar
La estoy usando poco tiempo y todo anda bien.,4,1,usando tiempo anda bien,usando tiempo anda bien,usar tiempo andar bien
Ami no me deja crear la cuenta,1,1,ami deja crear cuenta,ami deja crear cuenta,ami dejar crear cuenta
No pude acceder a la app y tengo un Samsung A30s me dise que no es compatible 67808043,3,5,pude acceder app samsung as dise compatible,pude acceder app samsung as dise compatible,poder acceder app samsung as disar compatible
Desde el anterior martes estoy esperando la devolucion de un dinero que no pude pagar mi servicio de agua e igual me hiciero el debito y me dijieron 5 dias habiles para la devolucion y ya pasaron y nada y ahora me salen con 3 dias mas y el dinero yo lo necesito llamo al numero de atencion al cliente y la señorita no me da ninguna solucion solo me dice que espere pero ya pasaron los 5 dias habiles y nada la devolucion,1,4,anterior martes esperando devolucion dinero pude pagar servicio agua igual hiciero debito dijieron dias habiles devolucion pasaron ahora salen dias mas dinero necesito llamo numero atencion cliente señorita da ninguna solucion solo dice espere pasaron dias habiles devolucion,anterior martes esperando devolucion dinero pude pagar servicio agua igual hiciero debito dijieron dias habiles devolucion pasaron ahora salen dias mas dinero necesito llamo numero atencion cliente senorita da ninguna solucion solo dice espere pasaron dias habiles devolucion,anterior martes esperar devolucion dinero poder pagar servicio agua igual hiciero debito dijeír dia habil devolucion pasar ahora salir dia mas dinero necesito llamo numero atencion cliente senorito dar ninguno solucion solo decir espere pasar dia habil devolucion
Es muy útil y fácil,5,3,útil fácil,util facil,util facil
No sirve siempre da Error,1,1,sirve siempre da error,sirve siempre da error,servir siempre dar error
No la veten a la app hasta ahorita me ah funcionado bien EH podido cobrar por qr y retirar sin problemas talvez a otro le ha fallado algo pero esta iniciando y se ve un alto potencial sigan mejorando gracias ...,5,5,veten app ahorita ah funcionado bien eh podido cobrar qr retirar problemas talvez fallado iniciando ve alto potencial sigan mejorando gracias,veten app ahorita ah funcionado bien eh podido cobrar qr retirar problemas talvez fallado iniciando ve alto potencial sigan mejorando gracias,vetir app ahoritir ah funcionado bien eh poder cobrar qr retirar problema talvez fallado iniciar ver alto potencial seguir mejorar gracias
"Es buena app, pero poco estable. No me funciona para pagar servicios y lleva 2 días sin sistema",3,4,buena app estable funciona pagar servicios lleva días sistema,buena app estable funciona pagar servicios lleva dias sistema,buen app estable funcionar pagar servicio llevar dia sistema
"Quiero pagar servicios y nunca carga, no se puede, realmente pésima la aplicación, siempre con problemas, no genera Qr, no entra a la aplicación, no se pueden tener códigos de retiro...¡malísima!",1,6,quiero pagar servicios nunca carga puede realmente pésima aplicación siempre problemas genera qr entra aplicación pueden tener códigos retiro¡malísima,quiero pagar servicios nunca carga puede realmente pesima aplicacion siempre problemas genera qr entra aplicacion pueden tener codigos retiro¡malisima,querer pagar servicio nunca carga poder realmente pesimar aplicacion siempre problema generar qr entrar aplicacion poder tener codigo retiro¡malisimar
"La app es inservible,hize mi PRIMERA transacción todo correcto y con el monto correcto de coopaguas al pagar PERO AHORA que quiero pagar una factura, me sale un monto que no es el mismo que en mi factura de agua,YOLOPAGO cobra comisión por que me esta cobrando de más. Ya me comunique con atención al cliente pero no me dieron una solución,NADA. Ahora que quiero entrar de nuevo, veo que la app ya no me funciona parece que me bloquearon la cuenta por hacer una consulta y presentar pruebas reales.",1,96,app inserviblehize primera transacción correcto monto correcto coopaguas pagar ahora quiero pagar factura sale monto mismo factura aguayolopago cobra comisión cobrando comunique atención cliente dieron soluciónnada ahora quiero entrar nuevo veo app funciona parece bloquearon cuenta hacer consulta presentar pruebas reales,app inserviblehize primera transaccion correcto monto correcto coopaguas pagar ahora quiero pagar factura sale monto mismo factura aguayolopago cobra comision cobrando comunique atencion cliente dieron solucionnada ahora quiero entrar nuevo veo app funciona parece bloquearon cuenta hacer consulta presentar pruebas reales,app inserviblehize primero transaccion correcto monto correcto coopagua pagar ahora querer pagar factura salir monto mismo factura aguayolopago cobrar comision cobrar comunique atencion cliente dar solucionnado ahora querer entrar nuevo veo app funcionar parecer bloquear cuenta hacer consulta presentar prueba real
"Esto es lo peor que descargue , no sirve para nada , pase muy mala experiencia,les falta mucho ...",1,4,peor descargue sirve pase mala experienciales falta,peor descargue sirve pase mala experienciales falta,peor descargue servir pasar malo experiencial falta
Cree mi cuenta y al ingresar me dice verifique su cuenta aún poniendo los datos correctos,2,1,cree cuenta ingresar dice verifique cuenta aún poniendo datos correctos,cree cuenta ingresar dice verifique cuenta aun poniendo datos correctos,creer cuenta ingresar decir verifique contar aun poner dato correcto
La peor billetera movil del planeta. No sirven para nada. No saben ni como solucionar un bloqueo de cuenta. Tropa de inutiles. 76047999,1,8,peor billetera movil planeta sirven saben solucionar bloqueo cuenta tropa inutiles,peor billetera movil planeta sirven saben solucionar bloqueo cuenta tropa inutiles,peor billetera movil planeta servir saber solucionar bloqueo contar tropa inutil
"Un desastre, ni siquiera se puede habilitar esta porquería. La foto es imposible de que acepten. Pésimo.",1,3,desastre siquiera puede habilitar porquería foto imposible acepten pésimo,desastre siquiera puede habilitar porqueria foto imposible acepten pesimo,desastrar siquiera poder habilitar porqueria foto imposible aceptar pesimo
Bien,3,1,bien,bien,bien
"Muy mala, muchos pasos para registrarte",1,1,mala pasos registrarte,mala pasos registrarte,malo paso registrarte
Muchas malas experiencia,1,1,muchas malas experiencia,muchas malas experiencia,mucho mala experiencia
Por que el QR no se puede compartir para un pago? Haces casi un mes tengo ese problema,1,6,qr puede compartir pago haces casi mes problema,qr puede compartir pago haces casi mes problema,qr poder compartir pago haz casi mes problema
Recién lo estoy utilizando y me parece muy buena,3,1,recién utilizando parece buena,recien utilizando parece buena,recien utilizar parecer buen
"Esta bien, pero como me inscribo",3,1,bien inscribo,bien inscribo,bien inscribo
Se detiene muy seguido y se corta la opción de compartir comprobante,3,6,detiene seguido corta opción compartir comprobante,detiene seguido corta opcion compartir comprobante,detener seguido cortar opcion compartir comprobante
Muy bueno por ahora todo bien,4,1,bueno ahora bien,bueno ahora bien,bueno ahora bien
La Opción de compartir en yolo Como ser un comprobante Se buguea y no deja compartir No salen opciones. Arreglen porfavor No quiero sacar capturas cada rato,2,2,opción compartir yolo ser comprobante buguea deja compartir salen opciones arreglen porfavor quiero sacar capturas cada rato,opcion compartir yolo ser comprobante buguea deja compartir salen opciones arreglen porfavor quiero sacar capturas cada rato,opcion compartir yolo ser comprobante buguea dejar compartir salir opción arreglir porfavor querer sacar captura cada rato
Hola ase una semana que solicite cambio de numero por q perdi el numero q registre en la aplicacion y nada que me cambien el numero para poder volver a usar la aplicacion y llamo al numero gratuito y me salen q no saben nada ni cuantos dias mas tardaran me digieron q solo los tecnico nos enviaran un correo cuando ya este q mal,4,13,hola ase semana solicite cambio numero q perdi numero q registre aplicacion cambien numero poder volver usar aplicacion llamo numero gratuito salen q saben cuantos dias mas tardaran digieron q solo tecnico enviaran correo q mal,hola ase semana solicite cambio numero q perdi numero q registre aplicacion cambien numero poder volver usar aplicacion llamo numero gratuito salen q saben cuantos dias mas tardaran digieron q solo tecnico enviaran correo q mal,holar ase semana solicitar cambio numero q perdi numero q registrar aplicacion cambiar numero poder volver usar aplicacion llamo numero gratuito salir q saber cuanto dia mas tardarar digeír q solo tecnico enviarar correo q mal
"Terrible nunca más vuelvo a usar el servicio la atención al cliente es una lágrima, se trata de hablar con el operador de soporte y prácticamente te mandan a descargar las facturas a otra página se les indica que no deja la página y se molestó la señorita que me atendió, horrible de verdad realice el pago de unas facturas que tengo de luz pido que me den la factura ya que me tendría que salir la opción como cualquier otra aplicación de banco PESIMA ATENCION AL CLIENTE",2,80,terrible nunca vuelvo usar servicio atención cliente lágrima trata hablar operador soporte prácticamente mandan descargar facturas página indica deja página molestó señorita atendió horrible verdad realice pago unas facturas luz pido den factura salir opción cualquier aplicación banco pesima atencion cliente,terrible nunca vuelvo usar servicio atencion cliente lagrima trata hablar operador soporte practicamente mandan descargar facturas pagina indica deja pagina molesto senorita atendio horrible verdad realice pago unas facturas luz pido den factura salir opcion cualquier aplicacion banco pesima atencion cliente,terrible nunca volver usar servicio atencion cliente lagrimo tratar hablar operador soporte practicamente mandar descargar factura pagín indicar dejar pagina molesto senorita atendio horrible verdad realizar pago uno factura luz pedir dar factura salir opcion cualquiera aplicacion banco pesimar atencion cliente
